iter	Passed	Remaining
848	1360	241
849	1361	240
850	1363	238
851	1364	237
852	1366	235
853	1368	233
854	1370	232
855	1371	230
856	1373	229
857	1374	227
858	1376	225
859	1378	224
860	1380	222
861	1381	221
862	1383	219
863	1384	217
864	1386	216
865	1387	214
866	1388	213
867	1390	211
868	1391	209
869	1392	208
870	1394	206
871	1395	204
872	1397	203
873	1399	201
874	1400	200
875	1402	198
876	1403	196
877	1404	195
878	1406	193
879	1407	191
880	1409	190
881	1411	188
882	1412	187
883	1414	185
884	1415	183
885	1416	182
886	1418	180
887	1419	179
888	1420	177
889	1422	175
890	1423	174
891	1425	172
892	1426	170
893	1428	169
894	1429	167
895	1431	166
896	1432	164
897	1434	162
898	1435	161
899	1437	159
900	1438	158
901	1440	156
902	1441	154
903	1443	153
904	1444	151
905	1445	150
906	1447	148
907	1448	146
908	1449	145
909	1450	143
910	1452	141
911	1453	140
912	1455	138
913	1456	137
914	1458	135
915	1460	133
916	1461	132
917	1462	130
918	1464	129
919	1466	127
920	1467	125
921	1469	124
922	1471	122
923	1472	121
924	1474	119
925	1475	117
926	1477	116
927	1478	114
928	1479	113
929	1481	111
930	1483	109
931	1484	108
932	1485	106
933	1487	105
934	1488	103
935	1490	101
936	1491	100
937	1492	98
938	1494	97
939	1495	95
940	1496	93
941	1498	92
942	1499	90
943	1500	89
944	1502	87
945	1503	85
946	1504	84
947	1506	82
948	1507	81
949	1509	79
950	1510	77
951	1511	76
952	1513	74
953	1515	73
954	1516	71
955	1518	69
956	1521	68
957	1522	66
958	1524	65
959	1526	63
960	1528	62
961	1530	60
962	1532	58
963	1534	57
964	1536	55
965	1538	54
966	1540	52
967	1542	50
968	1543	49
969	1545	47
970	1546	46
971	1548	44
972	1550	43
973	1552	41
974	1553	39
975	1555	38
976	1556	36
977	1558	35
978	1559	33
979	1560	31
980	1562	30
981	1563	28
982	1565	27
983	1566	25
984	1568	23
985	1569	22
986	1571	20
987	1572	19
988	1573	17
989	1575	15
990	1576	14
991	1577	12
992	1579	11
993	1580	9
994	1581	7
995	1583	6
996	1584	4
997	1586	3
998	1587	1
999	1588	0
